month_order_approved,payment_type,count
01,boleto,1469
01,credit_card,5483
01,debit_card,108
01,voucher,301
02,boleto,1305
02,credit_card,5236
02,debit_card,68
02,voucher,219
03,boleto,1415
03,credit_card,5688
03,debit_card,80
03,voucher,275
04,boleto,1217
04,credit_card,5353
04,debit_card,97
04,voucher,232
05,boleto,1363
05,credit_card,5569
05,debit_card,49
05,voucher,208
06,boleto,1088
06,credit_card,4802
06,debit_card,183
06,voucher,232
07,boleto,1165
07,credit_card,4690
07,debit_card,239
07,voucher,209
08,boleto,1239
08,credit_card,5021
08,debit_card,280
08,not_defined,2
08,voucher,232
09,not_defined,1
09,voucher,22
